sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn,N,C,C/N
222,1,0.0,2313.365497536945,7318.242775862067,2186.4061674876843,29857.55637931034,3960.324593596058,37.59349014778324,468.68285467980286,0.0,30.569100985221667,3.1654,44.830799999999996,14.16246
222,2,0.0,2231.801834862385,7160.721880733945,2150.9705504587155,28672.69256880734,3775.82243119266,36.48137614678899,432.05394495412844,0.0,29.566605504587155,3.1654,44.830799999999996,14.16246
223,0,0.0,2020.7898539682537,7910.8390222222215,1969.0776761904758,28133.994260317457,3767.2803301587296,32.76175238095237,357.4885333333333,0.0,26.49847619047619,3.1952000000000003,45.455600000000004,14.22688
223,1,0.0,2127.1460431654677,6814.649880095924,1991.0747002398084,27438.878657074343,3652.7459232613915,34.23333333333334,411.6619904076739,0.0,28.199400479616312,3.1952000000000003,45.455600000000004,14.22688
223,2,216.65879425837318,2116.8248899521527,6927.823894736841,2024.2680574162678,27631.087808612436,3655.9337511961717,33.256880382775115,406.78544497607646,0.0,28.488430622009567,3.1952000000000003,45.455600000000004,14.22688
224,0,0.0,2992.817467048711,7021.5196103151875,1300.4504469914043,24481.977123209173,3134.5964527220635,32.24257306590258,326.2536160458454,0.0,17.225484240687685,2.3626,43.062599999999996,18.22708
224,1,0.0,2904.9122860360358,6195.7229729729725,1331.9644144144145,23610.461542792793,2848.524245495495,32.02283783783784,381.4894594594594,0.0,18.796013513513515,2.3626,43.062599999999996,18.22708
224,2,0.0,3124.838170068028,6211.962977324264,1321.368814058957,24174.84936054422,3022.9070068027213,33.159736961451244,394.2972947845805,0.0,18.448022675736965,2.3626,43.062599999999996,18.22708
225,0,0.0,2974.2406229508197,7062.955436065574,1187.2218393442622,24419.125868852458,3121.7154491803276,31.177563934426228,336.8496590163934,0.0,15.671262295081966,2.3776,43.3246,18.22174
225,1,0.0,3083.10588997555,6124.877860635696,1272.2504523227383,24400.284755501223,3017.7553202933987,32.612083129584356,391.09219070904646,0.0,17.822882640586794,2.3776,43.3246,18.22174
225,2,0.0,2879.2212857142868,6362.232857142859,1326.8267142857146,24354.134785714294,2872.0275000000006,32.31107142857144,402.73007142857153,0.0,18.53314285714286,2.3776,43.3246,18.22174
226,0,0.0,2018.8996735905043,8060.447195845697,2034.2011869436203,27922.711617210683,3754.271305637982,32.40320474777448,337.5333827893175,0.0,27.152685459940653,3.1848,45.5044,14.28794
226,1,0.0,2404.961514942528,6908.397050574711,2142.1545218390797,27863.93648045976,3800.6862574712636,53.574979310344816,423.04927356321826,0.0,29.200777011494246,3.1848,45.5044,14.28794
226,2,0.0,2667.870304038005,6966.964560570072,2161.779482185273,28383.686261282663,4016.228679334917,55.62373871733967,445.4767695961996,0.0,29.576736342042757,3.1848,45.5044,14.28794
227,0,0.0,3007.69045751634,7108.737777777778,1180.9254901960785,24703.52679738562,3160.977254901961,31.357908496732026,344.10300653594777,0.0,18.681307189542483,2.3622,42.8604,18.14432
227,1,0.0,3534.4743185840716,6167.320141592922,1440.1136548672569,24415.102884955755,3039.8246150442483,51.651079646017706,378.3215044247788,0.0,21.521283185840712,2.3622,42.8604,18.14432
227,2,0.0,3535.1165350877186,6184.4617763157885,1437.0873684210526,24193.70280701754,3035.141271929824,52.02383771929824,425.0700438596491,0.0,19.352412280701753,2.3622,42.8604,18.14432
228,0,0.0,5098.32019642857,10346.584374999999,3290.337473214285,35616.416633928566,4118.73863392857,121.39392857142856,1751.894232142857,12.25179464285714,38.77861607142856,4.1742,40.8766,9.79182
228,1,0.0,5611.60229032258,9164.329161290321,3176.9368387096774,37807.63964516129,3835.0475806451614,141.03283870967743,2117.5328387096774,9.436193548387097,38.76490322580645,4.1742,40.8766,9.79182
228,2,0.0,6288.454220140517,9332.66930210773,3279.8097985948484,36714.52515222483,4158.965470725996,146.66806557377052,2132.290548009368,17.90714754098361,41.174257611241224,4.1742,40.8766,9.79182
228,3,0.0,5271.544735202491,6603.536311526479,2512.103239875389,35430.69145171339,4103.602429906542,120.11314641744548,2007.7860685358255,10.114791277258567,34.13742056074766,4.1742,40.8766,9.79182
229,0,0.0,5094.180375375376,9575.68128828829,2535.633336336337,38823.450279279285,3825.3902492492493,90.905996996997,1293.3512192192193,0.0,29.952552552552557,3.835,40.782399999999996,10.63428
229,1,26.0135,5500.4238851674645,8628.640610047849,2729.0526363636363,39525.83295215311,3571.068557416268,110.27732535885168,1426.386172248804,0.995732057416268,33.10809090909091,3.835,40.782399999999996,10.63428
229,2,0.0,6022.307714942529,8633.222282758621,2728.113025287357,37574.08776091954,3725.0748781609195,112.90634712643678,1460.6289954022989,0.8345770114942529,31.59470114942529,3.835,40.782399999999996,10.63428
230,0,0.0,5217.7595029239765,9914.627192982456,2662.902046783626,39508.65497076024,3900.9941520467837,96.05628654970761,1354.6783625730993,0.0,31.319444444444443,3.8031999999999995,40.597,10.67452
230,1,0.0,5953.444933014354,8734.381641148324,2758.4340191387555,39062.19527272727,3748.181411483253,115.97539712918659,1580.7520813397127,1.9782583732057415,32.641263157894734,3.8031999999999995,40.597,10.67452
230,2,0.0,6262.296865882353,8817.063534117648,2791.3865505882354,38552.90213411765,3835.6689647058824,116.48978823529411,1484.0313647058824,2.4268705882352943,32.76275294117647,3.8031999999999995,40.597,10.67452
