soil,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
lobby,17.49,1545.74,2216.64,70.04,700.7,3382.68,301.86,5442.95,6.53,38.83
lobby,17.3,1545.67,2244.36,69.39,685.43,3155.4,304.0,5439.5,6.62,39.06
lobby,17.22,1575.51,2257.02,72.03,699.02,3083.22,301.77,5523.53,6.6,39.23
lobby,18.41,1532.33,2080.02,61.89,708.46,3086.79,343.12,5541.8,7.45,37.98
lobby,17.8,1524.84,2086.0,58.72,710.33,3196.14,343.17,5595.3,7.1,38.44
lobby,18.63,1555.53,2112.87,61.67,739.63,3107.52,346.37,5712.3,7.18,38.77
lobby,18.4,1536.53,1918.78,62.86,639.03,3239.74,325.01,5536.09,6.27,36.94
lobby,17.87,1493.4,1926.44,63.15,634.5,3150.4,324.32,5453.52,5.94,36.94
lobby,18.8,1478.96,1951.4,66.95,642.51,3249.03,324.73,5455.08,6.32,37.42
lobby,1.15,1462.79,675.48,17.592362994174408,587.29,3053.91,288.97,5331.83,5.5,34.36
lobby,0.92,1443.99,725.68,25.936707498202367,597.34,3322.64,286.15,5248.28,5.48,33.78
