soil,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
coloma,86.57409251809057,680.88,796.18,240.8531722474925,600.92,1097.21,373.57,8441.71,26.5,27.78
coloma,90.27844631385773,546.13,797.92,260.8777843974094,659.43,1153.04,441.8,9030.87,26.0,26.5
coloma,93.33424139640408,1060.05,41.62,235.22538543230672,738.76,1400.25,589.63,9477.76,31.0,37.8
coloma,102.27855436864046,1485.94,1159.34,183.05591620799564,836.55,1462.6,610.55,11015.62,26.0,43.48
coloma,103.31505039079346,1403.82,199.89,206.6241040523476,884.15,1463.04,719.02,10835.64,28.0,41.74
coloma,81.47533652271781,520.79,763.44,251.02644187781232,593.45,934.3,360.24,7309.47,27.0,23.87
coloma,85.8903459159948,766.23,883.48,226.2783079887378,662.07,994.85,376.61,8387.49,32.0,27.81
coloma,86.84561034312429,675.47,887.84,241.42112621788317,624.03,995.81,451.2,8406.11,26.0,28.68
coloma,81.5472825887225,456.74,935.42,255.5078967387842,519.06,926.73,397.24,7732.08,27.0,24.12
coloma,89.30971123771069,637.22,919.27,239.10945771750133,589.68,971.9,408.76,9201.6,27.0,27.43
coloma,86.7667218579893,531.14,921.45,250.6919330734885,469.94,992.87,494.9,9329.99,30.0,26.39
coloma,88.27018011150962,606.88,861.21,181.0,639.43,1168.39,429.37,8463.83,27.0,24.3
coloma,92.60596414222482,914.54,764.75,218.44419520270182,635.4,1179.06,439.14,9517.67,27.0,28.05
coloma,131.71318188089293,665.76,769.99,277.0,2726.35,1187.17,524.49,9608.67,25.0,26.02
coloma,78.96676437009116,317.24,778.28,232.0,475.7,947.3,389.06,7326.43,28.0,23.42
coloma,82.87567168607721,504.93,886.97,350.0,517.02,988.64,391.5,8520.9,30.0,26.58
coloma,103.58072479540476,463.71,816.26,179.0,1447.78,982.75,474.47,8650.37,27.0,25.95
coloma,103.47128483109411,1521.61,303.69,287.0,1080.08,1668.02,749.32,10477.55,32.0,42.75
coloma,110.4125570447863,1931.37,1190.34,155.8782070606251,1073.75,1701.08,770.98,11940.64,29.0,49.84
coloma,123.9533892354927,1892.25,409.06,288.0,1650.25,1732.8,944.88,12369.65,27.0,48.59
coloma,86.57772061084104,706.82,869.94,241.2449017556518,684.67,1156.46,436.66,8319.74,31.0,26.07
coloma,101.46901870666935,1082.5,844.19,215.0535956340735,997.6,1263.71,490.7,10128.58,28.0,31.97
coloma,102.19074961485191,945.56,897.01,233.82011284541028,1045.75,1234.91,566.41,9834.4,24.0,30.43
coloma,84.88914072797336,847.2,295.83,178.0,817.95,1181.37,572.04,7007.72,29.0,34.11
coloma,95.78608820878965,1230.05,251.09,222.15225738367437,1082.29,1237.18,621.67,8418.52,28.0,40.42
coloma,94.13291753670589,1134.82,331.02,233.45233849230613,1059.68,1222.37,717.47,8271.08,30.0,38.95
coloma,88.00262636181317,793.53,90.78,241.165910560154,667.98,1020.3,481.56,8357.33,28.0,30.92
coloma,100.5018011898685,1224.91,151.85,202.39955335264983,940.74,1061.52,514.2,9904.84,27.0,36.25
coloma,95.72900509767868,942.59,256.0,230.9400356597286,846.95,976.86,570.11,9285.89,26.0,34.66
lobby,-3.5327498713320784,665.75,774.79,81.6896205838996,199.64,918.71,273.65,3221.17,5.44,34.98
lobby,0.037479401413470725,768.03,104.66,76.15721603469483,220.76,845.73,288.87,3722.97,5.32,36.84
lobby,10.66,1035.92,260.14,49.157051873355044,581.68,875.56,279.42,3757.6,4.82,35.1
lobby,-5.413771290024585,488.42,2.82,102.09403096233473,53.08,799.27,293.12,3580.72,9.4,35.45
lobby,-2.5190798942175627,684.07,217.68,85.79314015960702,193.55,816.78,302.54,3756.43,9.49,40.11
lobby,2.1805096937984842,866.61,367.78,57.607449210267845,343.09,742.54,290.09,3874.31,8.61,34.72
lobby,1.5853248369239008,502.53,701.46,95.82082031650597,194.23,760.48,331.56,4471.12,4.99,35.12
lobby,3.553295185358497,875.79,212.42,59.565062293338855,281.57,712.49,328.8,4180.4,4.78,36.79
lobby,7.267688404536704,891.81,412.79,61.12711646207973,511.69,719.61,328.25,4157.23,5.5,36.37
lobby,1.2026716044384997,437.83,728.08,93.13302939090708,241.16,708.15,292.15,3954.45,5.0,26.74
lobby,7.513688929279475,803.81,214.21,64.34722734609095,406.22,763.61,313.03,4424.46,5.74,29.43
lobby,1.7361033705604445,1234.99,411.14,65.32902448701627,496.07,911.22,320.96,4162.04,6.8,73.77
lobby,14.50390736113032,1101.23,427.53,172.0,495.95,989.72,442.22,6007.81,5.91,36.87
lobby,16.500983964526608,1234.11,688.85,32.67864094965455,563.16,950.19,465.86,6077.37,7.33,39.49
lobby,15.427329259200828,1372.19,775.28,14.084104880870342,604.3,905.7,465.13,5496.4,6.98,37.71
lobby,8.329888075040373,967.58,557.32,45.99339677416339,455.74,677.97,348.22,4566.11,5.56,34.78
lobby,9.831778473864116,896.65,544.99,50.3260102792505,542.24,671.18,343.42,4362.66,5.44,28.59
lobby,8.294668910486184,1067.67,577.91,31.760240233348213,483.7,772.43,328.83,4131.04,5.4,28.34
lobby,5.6293030853909265,885.98,480.2,41.42609527595488,406.1,623.38,300.82,3769.06,5.05,23.73
lobby,4.332168807954032,846.05,492.28,57.5546196161024,421.93,625.24,297.98,3804.8,4.6,34.57
lobby,4.704265035611256,853.43,557.01,44.646218689555525,352.53,621.06,319.78,3859.7,5.06,24.78
lobby,9.017671829562705,2521.29,640.38,-70.24744382497516,347.87,2800.19,284.64,3651.19,5.5,25.08
lobby,2.2055185741755245,828.05,683.43,177.0,332.43,593.4,296.46,3787.49,5.59,24.99
lobby,2.140507158788701,834.78,680.75,361.0,441.08,612.74,292.97,3739.71,5.72,25.18
lobby,1.9128248130106762,671.32,564.21,50.30618834390086,264.02,492.46,230.23,3382.37,2.83,18.53
lobby,7.654343171481354,804.38,592.03,43.63959188706332,499.11,573.59,232.83,3645.11,2.84,19.06
lobby,2.4309418282644284,758.03,610.38,179.0,300.48,556.65,243.4,3629.13,2.87,19.27
lobby,4.506772982660827,854.24,756.78,43.00245248133473,387.6,597.12,251.39,3825.11,4.37,27.8
lobby,6.33922520287614,924.9,769.78,30.155469485987965,386.28,641.65,257.08,4000.37,4.53,22.04
lobby,5.631390031908003,876.48,773.24,34.48199932323038,395.88,600.68,249.34,3829.76,4.43,21.99
lobby,20.53,1070.15,689.58,100.56250527745338,748.71,2511.46,338.8,5637.97,3.96,26.82
lobby,20.84,1078.85,753.91,95.76324341215248,739.14,2435.7,338.88,5614.34,3.97,27.39
lobby,146.03929021268308,2222.1239589858496,790.94,90.43578181470156,9135.25,11.63,394.0,23.88,24.0,27.0
lobby,21.19,1152.62,1133.02,24.83,759.31,2308.48,342.02,6092.35,6.43,27.92
lobby,20.37,1141.22,1182.21,27.14,751.71,2306.34,342.37,6099.33,6.46,28.4
lobby,21.16,1212.81,1229.95,30.88,780.43,2315.63,349.23,6287.7,6.65,27.84
lobby,19.6,1229.0,1016.12,70.61887033180558,653.42,2605.08,201.33,5314.15,3.57,24.22
lobby,19.53,1257.57,1029.06,62.53411403483565,632.09,2482.15,202.36,5502.35,3.9,25.07
lobby,19.61,1250.62,1038.24,69.781444308692,640.15,2506.45,201.11,5538.18,3.4,30.69
lobby,22.21,1269.44,1109.23,76.75664050304903,695.97,2804.48,261.69,5160.72,4.21,26.91
lobby,23.2,1297.23,1194.7,76.32858524798422,689.62,2888.1,263.95,5135.92,4.01,28.41
lobby,23.48,1329.54,1278.47,3.32,714.31,2962.79,270.69,5153.39,4.46,27.68
lobby,25.2,1595.69,1660.55,50.76,846.51,2998.88,367.72,5733.36,7.69,34.15
lobby,28.43,1565.11,1676.18,41.19,879.02,2873.09,366.52,5869.33,6.87,34.84
lobby,25.56,1587.82,1727.08,45.95,864.72,3126.81,369.42,5870.26,7.19,34.45
lobby,25.79,1515.38,1548.5,44.67,727.79,2887.39,318.67,5795.5,7.15,27.16
lobby,30.12,1531.72,1552.6,42.53,812.74,2929.56,316.37,5785.85,6.9,26.9
lobby,24.92,1481.64,1547.21,38.75,687.5,2971.01,314.06,5701.52,6.45,26.74
lobby,23.88,1414.55,1838.01,89.14,833.72,3040.33,348.45,5555.72,8.61,31.72
lobby,24.61,1435.09,1849.47,99.48,869.29,2982.44,352.14,5520.12,9.14,32.4
lobby,23.78,1424.12,1874.73,99.19,866.25,3123.24,350.11,5479.07,8.98,31.4
lobby,23.33,1581.18,1312.68,14.79,601.62,3304.77,235.22,5251.83,4.97,27.14
lobby,22.1,1608.48,1300.22,13.52,634.33,3131.1,230.85,5239.69,4.04,27.61
lobby,22.68,1588.21,1321.86,17.61,606.78,3358.38,232.44,5267.49,4.43,27.12
