id,soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
258,lobby,42,2,20.85,1493.6,1766.55,65.67,689.84,0,396.64,6249.02,8.08,35.47
259,lobby,42,3,20.31,1507.13,1797.48,78.79,714.27,0,398.89,6245.9,9.41,35.87
260,lobby,43,1,17.49,1545.74,2216.64,70.04,700.7,0,301.86,5442.95,6.53,38.83
261,lobby,43,2,17.3,1545.67,2244.36,69.39,685.43,0,304,5439.5,6.62,39.06
262,lobby,43,3,17.22,1575.51,2257.02,72.03,699.02,0,301.77,5523.53,6.6,39.23
263,lobby,44,1,18.41,1532.33,2080.02,61.89,708.46,0,343.12,5541.8,7.45,37.98
264,lobby,44,2,17.8,1524.84,2086,58.72,710.33,0,343.17,5595.3,7.1,38.44
265,lobby,44,3,18.63,1555.53,2112.87,61.67,739.63,0,346.37,5712.3,7.18,38.77
266,lobby,45,1,18.4,1536.53,1918.78,62.86,639.03,0,325.01,5536.09,6.27,36.94
267,lobby,45,2,17.87,1493.4,1926.44,63.15,634.5,0,324.32,5453.52,5.94,36.94
268,lobby,45,3,18.8,1478.96,1951.4,66.95,642.51,0,324.73,5455.08,6.32,37.42
269,lobby,46,1,1.15,1462.79,675.48,0,587.29,0,288.97,5331.83,5.5,34.36
270,lobby,46,2,0.92,1443.99,725.68,0,597.34,0,286.15,5248.28,5.48,33.78
271,lobby,46,3,0.72,1483.46,820.27,0,613.62,0,299.07,5355.64,6.13,35.26
272,lobby,47,1,0.6,1562.32,968.66,8.38,597.18,0,287.71,5193.07,4.87,37.93
273,lobby,47,2,1.2,1476.86,1001.89,14.96,587.41,0,284.46,5063.72,5.34,38.17
274,lobby,47,3,1.26,1591.2,1045.38,15.39,596,0,298.65,5336.98,5.43,38.58
275,lobby,48,1,0.65,1358.74,1280.03,14.74,587.93,0,306.35,4814.78,5.37,37.27
276,lobby,48,2,0.55,1388.58,1312.67,17.55,599.05,0,306.58,4846.49,5.37,37.08
277,lobby,48,3,1.17,1366.83,1342.21,20.06,602.49,0,304.51,4797.08,5.39,37.22
278,lobby,49,1,0.95,1331.57,1260.31,23.44,601.15,0,358.16,5273.72,6.49,36.83
279,lobby,49,2,0.83,1329.43,1277.66,20.65,610.29,0,361.06,5349.31,6.09,36.6
280,lobby,49,3,0.87,1377.87,1298.87,24.85,624.89,0,362.42,5409.96,6.78,36.67
281,lobby,50,1,3.23,1294.22,1285.31,0,615.62,1011.36,270.45,5295.89,3.17,30.96
282,lobby,50,2,0.62,1282.88,1309.87,0,589.27,1018.71,271.31,5263.9,3.41,31.72
283,lobby,50,3,1.23,1300.65,1315.06,0,584.5,1004.11,273.64,5307.02,3.51,31.54
