id,name,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
353,patrick,14,1,high,high,high,high,high,NA,high,high,high,high
354,patrick,14,2,high,high,high,high,high,NA,high,high,high,high
355,patrick,14,3,high,high,high,high,high,NA,high,high,high,high
356,patrick,15,1,high,high,high,low,high,optimum,high,high,optimum,high
357,patrick,15,2,high,high,high,low,high,optimum,high,high,optimum,high
358,patrick,15,3,high,high,high,NA,high,optimum,high,high,optimum,high
359,patrick,16,1,high,high,high,optimum,high,NA,high,high,high,high
360,patrick,16,2,high,high,high,high,high,NA,high,high,high,high
361,patrick,16,3,high,high,high,high,high,NA,high,high,high,high
362,patrick,17,1,high,high,high,high,high,NA,high,high,high,high
363,patrick,17,2,high,high,high,low,high,NA,high,high,high,high
364,patrick,17,3,high,high,high,optimum,high,optimum,high,high,optimum,high
365,patrick,18,1,high,high,high,high,high,NA,high,high,optimum,high
366,patrick,18,2,high,high,high,high,high,high,high,high,optimum,high
367,patrick,18,3,high,high,high,high,high,high,high,high,optimum,high
368,werner,1,1,high,high,high,high,high,NA,high,high,high,high
369,werner,1,2,high,high,high,high,high,NA,high,high,high,high
370,werner,1,3,high,high,high,high,high,NA,high,high,high,high
371,werner,2,1,high,high,high,optimum,high,NA,high,high,high,high
372,werner,2,2,high,high,high,high,high,NA,high,high,high,high
373,werner,2,3,high,high,high,high,high,NA,high,high,high,high
374,werner,3,1,high,high,high,low,high,NA,high,high,optimum,high
375,werner,3,2,high,high,high,low,high,NA,high,high,high,high
376,werner,3,3,high,high,high,low,high,NA,high,high,optimum,high
377,werner,4,1,high,high,high,low,high,optimum,high,high,optimum,high
378,werner,4,2,high,high,high,low,high,high,high,high,optimum,high
379,werner,4,3,high,high,high,low,high,high,high,high,optimum,high
380,werner,5,1,high,high,high,NA,high,optimum,high,high,optimum,high
381,werner,5,2,high,high,high,NA,high,optimum,high,high,optimum,high
382,werner,5,3,high,high,high,NA,high,optimum,high,high,optimum,high
383,werner,6,1,high,high,high,NA,high,NA,high,high,high,high
384,werner,6,2,high,high,high,NA,high,NA,high,high,high,high
385,werner,6,3,high,high,high,NA,high,NA,high,high,high,high
386,werner,7,1,high,high,high,NA,high,NA,high,high,high,high
387,werner,7,2,high,high,high,NA,high,NA,high,high,high,high
388,werner,7,3,high,high,high,NA,high,NA,high,high,high,high
389,werner,8,1,high,high,high,NA,high,optimum,high,high,optimum,high
390,werner,8,2,high,high,high,NA,high,optimum,high,high,optimum,high
391,werner,8,3,high,high,high,NA,high,optimum,high,high,optimum,high
392,werner,9,1,high,high,high,optimum,high,NA,high,high,optimum,high
393,werner,9,2,high,high,high,optimum,high,NA,high,high,high,high
394,werner,9,3,high,high,high,optimum,high,NA,high,high,high,high
395,werner,10,1,high,high,high,low,high,NA,high,high,high,high
396,werner,10,2,high,high,high,low,high,NA,high,high,high,high
397,werner,10,3,high,high,high,optimum,high,NA,high,high,high,high
398,werner,11,1,high,high,high,low,high,NA,high,high,high,high
399,werner,11,2,high,high,high,low,high,NA,high,high,high,high
400,werner,11,3,high,high,high,low,high,NA,high,high,high,high
401,werner,12,1,high,high,high,NA,high,optimum,high,high,optimum,high
402,werner,12,2,high,high,high,NA,high,optimum,high,high,optimum,high
403,werner,12,3,high,high,high,NA,high,optimum,high,high,optimum,high
404,werner,13,1,high,high,high,NA,high,high,high,high,optimum,high
405,werner,13,2,high,high,high,low,high,high,high,high,high,high
406,werner,13,3,high,high,high,NA,high,high,high,high,optimum,high
407,werner,14,1,high,high,high,low,high,high,high,high,optimum,high
408,werner,14,2,high,high,high,low,high,high,high,high,optimum,high
409,werner,14,3,high,high,high,low,high,high,high,high,optimum,high
410,werner,15,1,high,high,high,optimum,high,high,high,high,optimum,high
411,werner,15,2,high,high,high,low,high,high,high,high,optimum,high
412,werner,15,3,high,high,high,optimum,high,high,high,high,optimum,high
413,werner,16,1,high,high,high,low,high,high,high,high,optimum,high
414,werner,16,2,high,high,high,low,high,high,high,high,optimum,high
415,werner,16,3,high,high,high,NA,high,high,high,high,optimum,high
