id,soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
173,lobby,3,2,0,0,773.04,0,8294.36,2995.31,380,9148,26,40
174,lobby,3,3,0,0,795.3,0,8442.12,2968.15,343,8961,26,40
175,lobby,4,1,0,0,728.08,0,8985.83,3384.1,351,9411,27,34
176,lobby,4,2,0,0,694.91,0,8577.42,3247.6,390,9274,26,33
177,lobby,4,3,0,0,736.38,0,8740.95,3318.35,382,9130,27,32
178,lobby,5,1,0,0,806.22,172,9297.12,3419.84,512,11970,29,37
179,lobby,5,2,0,0,821.06,0,9260.6,3399.11,492,11677,30,32
180,lobby,5,3,0,0,820.18,0,8916.93,3244.02,484,11241,34,40
181,lobby,6,1,0,0,831.1,0,8823.96,3074.64,394,9440,24,33
182,lobby,6,2,0,0,756.02,0,9130.27,3241.88,420,9618,26,32
183,lobby,6,3,0,0,865.14,0,8783.29,3070.35,405,9768,28,32
184,lobby,7,1,0,0,733.76,0,8261.16,2628.67,353,8760,26,25
185,lobby,7,2,0,0,697.09,0,8746.76,2706.57,410,8643,26,26
186,lobby,7,3,0,0,740.74,0,8546.71,2719.43,390,8487,26,28
187,lobby,8,1,0,0,676.14,0,8035.37,2800.19,351,8103,23,25
188,lobby,8,2,0,0,685.74,177,8298.51,2732.3,350,8059,27,27
189,lobby,8,3,0,0,738.99,361,8232.93,2799.48,357,8179,27,29
190,lobby,9,1,0,0,720.23,0,8570.78,2437.13,301,8151,24,23
191,lobby,9,2,0,0,665.66,0,8821.47,2587.93,327,8170,27,20
192,lobby,9,3,0,0,685.74,179,8267.8,2379.24,267,7882,26,22
193,lobby,10,1,0,0,741.18,0,8025.41,2467.14,301,8439,29,20
194,lobby,10,2,0,0,848.56,0,8174.82,2600.79,282,8116,22,23
195,lobby,10,3,0,0,704.07,0,8296.85,2679.41,301,8444,30,26
196,lobby,11,1,0,0,861.65,0,8794.91,2511.46,367,8448,24,27
197,lobby,11,2,0,0,734.63,0,8399.78,2435.7,359,8499,23,24
198,lobby,11,3,0,0,790.94,0,9135.25,2637.96,394,8851,24,27
199,lobby,12,1,0,0,807.53,0,8329.22,2308.48,340,9211,24,24
200,lobby,12,2,0,0,778.28,0,8152.41,2306.34,328,8970,23,26
201,lobby,12,3,0,0,708.88,0,8243.72,2315.63,339,9208,26,25
202,lobby,13,1,0,0,693.16,0,8881.24,2605.08,230,8267,23,23
203,lobby,13,2,0,0,631.62,0,8384.01,2482.15,187,8193,22,25
204,lobby,13,3,0,0,809.71,0,9032.32,2506.45,205,8619,24,22
205,lobby,14,1,0,0,884.79,0,8799.89,2804.48,264,8473,27,25
206,lobby,14,2,0,0,811.89,0,9116.99,2888.1,255,8367,25,25
