soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
lobby,5,2,0.0,1234.11,688.85,0.0,563.16,950.19,465.86,6077.37,7.33,39.49
lobby,5,3,0.0,1372.19,775.28,0.0,604.3,905.7,465.13,5496.4,6.98,37.71
lobby,6,1,0.0,967.58,557.32,0.0,455.74,677.97,348.22,4566.11,5.56,34.78
lobby,6,2,0.0,896.65,544.99,0.0,542.24,671.18,343.42,4362.66,5.44,28.59
lobby,6,3,0.0,1067.67,577.91,0.0,483.7,772.43,328.83,4131.04,5.4,28.34
lobby,7,1,0.0,885.98,480.2,0.0,406.1,623.38,300.82,3769.06,5.05,23.73
lobby,7,2,0.0,846.05,492.28,0.0,421.93,625.24,297.98,3804.8,4.6,34.57
lobby,7,3,0.0,853.43,557.01,0.0,352.53,621.06,319.78,3859.7,5.06,24.78
lobby,8,1,0.0,2521.29,640.38,0.0,347.87,2800.19,284.64,3651.19,5.5,25.08
lobby,8,2,0.0,828.05,683.43,177.0,332.43,593.4,296.46,3787.49,5.59,24.99
lobby,8,3,0.0,834.78,680.75,361.0,441.08,612.74,292.97,3739.71,5.72,25.18
lobby,9,1,0.0,671.32,564.21,0.0,264.02,492.46,230.23,3382.37,2.83,18.53
lobby,9,2,0.0,804.38,592.03,0.0,499.11,573.59,232.83,3645.11,2.84,19.06
lobby,9,3,0.0,758.03,610.38,179.0,300.48,556.65,243.4,3629.13,2.87,19.27
lobby,10,1,0.0,854.24,756.78,0.0,387.6,597.12,251.39,3825.11,4.37,27.8
lobby,10,2,0.0,924.9,769.78,0.0,386.28,641.65,257.08,4000.37,4.53,22.04
lobby,10,3,0.0,876.48,773.24,0.0,395.88,600.68,249.34,3829.76,4.43,21.99
lobby,11,1,20.53,1070.15,689.58,0.0,748.71,2511.46,338.8,5637.97,3.96,26.82
lobby,11,2,20.84,1078.85,753.91,0.0,739.14,2435.7,338.88,5614.34,3.97,27.39
lobby,11,3,0.0,0.0,790.94,0.0,9135.25,11.63,394.0,23.88,24.0,27.0
lobby,12,1,21.19,1152.62,1133.02,24.83,759.31,2308.48,342.02,6092.35,6.43,27.92
lobby,12,2,20.37,1141.22,1182.21,27.14,751.71,2306.34,342.37,6099.33,6.46,28.4
lobby,12,3,21.16,1212.81,1229.95,30.88,780.43,2315.63,349.23,6287.7,6.65,27.84
lobby,13,1,19.6,1229.0,1016.12,0.0,653.42,2605.08,201.33,5314.15,3.57,24.22
lobby,13,2,19.53,1257.57,1029.06,0.0,632.09,2482.15,202.36,5502.35,3.9,25.07
lobby,13,3,19.61,1250.62,1038.24,0.0,640.15,2506.45,201.11,5538.18,3.4,30.69
lobby,14,1,22.21,1269.44,1109.23,0.0,695.97,2804.48,261.69,5160.72,4.21,26.91
lobby,14,2,23.2,1297.23,1194.7,0.0,689.62,2888.1,263.95,5135.92,4.01,28.41
lobby,14,3,23.48,1329.54,1278.47,3.32,714.31,2962.79,270.69,5153.39,4.46,27.68
lobby,15,1,25.2,1595.69,1660.55,50.76,846.51,2998.88,367.72,5733.36,7.69,34.15
lobby,15,2,28.43,1565.11,1676.18,41.19,879.02,2873.09,366.52,5869.33,6.87,34.84
lobby,15,3,25.56,1587.82,1727.08,45.95,864.72,3126.81,369.42,5870.26,7.19,34.45
lobby,16,1,25.79,1515.38,1548.5,44.67,727.79,2887.39,318.67,5795.5,7.15,27.16
lobby,16,2,30.12,1531.72,1552.6,42.53,812.74,2929.56,316.37,5785.85,6.9,26.9
lobby,16,3,24.92,1481.64,1547.21,38.75,687.5,2971.01,314.06,5701.52,6.45,26.74
lobby,17,1,23.88,1414.55,1838.01,89.14,833.72,3040.33,348.45,5555.72,8.61,31.72
lobby,17,2,24.61,1435.09,1849.47,99.48,869.29,2982.44,352.14,5520.12,9.14,32.4
lobby,17,3,23.78,1424.12,1874.73,99.19,866.25,3123.24,350.11,5479.07,8.98,31.4
lobby,18,1,23.33,1581.18,1312.68,14.79,601.62,3304.77,235.22,5251.83,4.97,27.14
lobby,18,2,22.1,1608.48,1300.22,13.52,634.33,3131.1,230.85,5239.69,4.04,27.61
lobby,18,3,22.68,1588.21,1321.86,17.61,606.78,3358.38,232.44,5267.49,4.43,27.12
lobby,19,1,32.41,1960.52,2284.09,106.06,1007.25,3898.69,501.73,7428.19,11.08,41.27
lobby,19,2,31.52,1922.2,2299.83,107.55,974.46,4195.29,493.59,7360.69,11.31,40.68
lobby,19,3,31.17,1946.79,2320.02,106.93,991.36,3905.12,497.76,7435.78,10.82,40.65
lobby,20,1,24.91,1581.12,1988.05,90.35,723.39,3833.65,363.7,5741.51,7.81,38.35
lobby,20,2,24.06,1581.56,2008.49,84.91,686.47,4097.38,368.94,5712.18,7.35,39.15
lobby,20,3,27.06,1614.31,2045.46,95.64,738.05,4196.0,368.07,5752.68,8.26,39.01
lobby,21,1,22.34,1501.58,2090.9,50.51,657.48,3383.39,351.24,5089.92,5.39,36.72
lobby,21,2,21.55,1560.78,2107.07,57.32,676.8,3437.71,352.27,5085.76,6.01,37.36
lobby,21,3,21.74,1563.82,2174.38,61.81,682.14,3376.96,360.97,5226.83,6.8,37.52
lobby,22,1,23.27,1542.6,807.2,21.95,759.1,3331.93,430.26,5869.76,7.74,41.13
lobby,22,2,21.65,1517.92,876.38,18.72,716.59,3229.01,423.45,5785.02,7.77,40.74
lobby,22,3,21.83,1510.49,901.95,13.44,710.42,3123.24,428.3,5768.25,7.36,40.21
lobby,23,1,20.4,1519.15,1030.47,35.73,738.92,3094.65,372.41,5308.49,7.62,40.8
lobby,23,2,21.62,1566.36,1065.89,27.15,696.38,3038.19,382.31,5436.1,7.6,41.4
lobby,23,3,20.74,1526.4,1083.62,28.05,676.53,3231.87,378.05,5328.65,7.33,40.86
lobby,24,1,23.91,1886.67,1549.43,73.68,769.54,3932.99,506.09,6263.14,11.82,67.47
lobby,24,2,25.15,1892.94,1555.86,77.84,795.55,3877.96,503.75,6333.49,11.95,67.25
lobby,24,3,24.46,1953.24,1630.31,88.11,811.7,3915.84,516.94,6383.23,12.71,68.59
lobby,25,1,26.45,1742.86,1485.1,76.22,828.88,3217.58,475.37,6840.89,17.1,42.9
lobby,25,2,27.57,1757.35,1491.63,70.78,822.49,3264.03,479.41,6909.75,16.65,43.02
lobby,25,3,27.12,1744.87,1486.72,63.55,816.07,3127.53,476.37,6919.44,16.18,42.39
lobby,26,1,26.25,1793.16,1612.17,65.18,850.28,3269.75,526.6,6759.92,13.22,50.72
lobby,26,2,25.44,1732.11,1598.57,66.11,811.32,3247.6,512.97,6545.01,13.22,48.66
lobby,26,3,26.24,1742.77,1561.57,52.71,838.31,3073.92,507.52,6662.48,12.22,48.11
lobby,27,1,17.61,1354.26,1407.81,21.46,686.61,984.31,338.97,5248.62,5.52,35.5
lobby,27,2,18.7,1377.1,1508.85,24.43,711.48,1021.94,356.97,5379.05,6.64,38.0
lobby,27,3,17.98,1380.82,1522.94,23.64,714.62,1025.26,359.09,5436.12,6.69,37.94
lobby,28,1,16.9,1439.53,1467.02,19.9,708.67,1062.8,298.76,5135.72,5.71,39.14
lobby,28,2,16.51,1396.72,1484.25,19.49,704.21,1047.85,297.96,5162.76,5.5,39.66
lobby,28,3,16.8,1490.53,1503.51,21.44,743.79,1080.01,304.6,5286.09,5.58,39.78
lobby,29,1,22.61,1942.0,2317.43,115.05,1091.17,3516.32,555.42,6847.11,11.86,50.54
lobby,29,2,23.97,1974.96,2328.67,111.52,1105.22,3275.47,562.06,6966.18,11.19,50.95
lobby,29,3,33.8,2024.88,2321.16,115.38,1246.01,3906.55,557.0,6982.57,11.67,51.15
lobby,30,1,23.29,1770.33,537.48,4.8,731.0,3702.86,335.12,6234.02,6.95,36.21
lobby,30,2,22.62,1755.59,555.32,6.71,723.26,3801.49,328.91,6147.81,6.42,35.73
lobby,30,3,22.47,1737.89,564.6,7.8,716.66,3912.27,325.36,6122.05,6.29,35.38
lobby,31,1,24.66,1994.95,887.64,37.69,854.74,4067.36,484.62,6915.43,6.59,38.59
lobby,31,2,38.21,2026.33,906.82,41.54,1132.84,4050.92,487.43,7005.92,6.38,39.1
lobby,31,3,26.74,2017.76,929.99,42.41,910.74,3959.44,490.44,7037.87,6.79,38.65
lobby,32,1,27.91,2242.36,2309.74,160.41,1259.01,4301.06,561.67,8122.98,14.06,49.8
lobby,32,2,27.88,2276.23,2316.42,159.92,1242.43,4710.59,564.07,8024.55,14.07,49.66
lobby,32,3,26.79,2208.1,2322.29,160.86,1212.57,4383.97,559.32,7944.82,14.05,48.97
lobby,33,1,22.37,1345.39,555.95,0.0,707.13,1009.02,259.08,5865.67,4.37,29.81
lobby,33,2,21.37,1368.01,588.85,0.0,681.3,990.04,260.97,5827.1,4.82,29.61
lobby,33,3,19.75,1260.2,185.02,0.0,692.9,977.93,264.93,5657.27,4.98,29.04
lobby,34,1,18.72,1381.58,275.28,0.0,602.31,1112.04,198.46,5105.54,4.12,32.04
lobby,34,2,18.39,1313.38,216.41,0.0,586.5,1079.91,187.51,4992.23,2.68,30.4
lobby,34,3,20.15,1389.05,268.38,0.0,660.97,1117.17,196.96,5132.11,3.85,31.87
