id,soil,sample,rep,B,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn
225,lobby,31,2,38.21,2026.33,906.82,41.54,1132.84,0.00,487.43,7005.92,6.38,39.10
226,lobby,31,3,26.74,2017.76,929.99,42.41,910.74,0.00,490.44,7037.87,6.79,38.65
227,lobby,32,1,27.91,2242.36,2309.74,160.41,1259.01,0.00,561.67,8122.98,14.06,49.80
228,lobby,32,2,27.88,2276.23,2316.42,159.92,1242.43,0.00,564.07,8024.55,14.07,49.66
229,lobby,32,3,26.79,2208.10,2322.29,160.86,1212.57,0.00,559.32,7944.82,14.05,48.97
230,lobby,33,1,22.37,1345.39,555.95,0.00,707.13,1009.02,259.08,5865.67,4.37,29.81
231,lobby,33,2,21.37,1368.01,588.85,0.00,681.30,990.04,260.97,5827.10,4.82,29.61
232,lobby,33,3,19.75,1260.20,185.02,0.00,692.90,977.93,264.93,5657.27,4.98,29.04
233,lobby,34,1,18.72,1381.58,275.28,0.00,602.31,1112.04,198.46,5105.54,4.12,32.04
234,lobby,34,2,18.39,1313.38,216.41,0.00,586.50,1079.91,187.51,4992.23,2.68,30.40
235,lobby,34,3,20.15,1389.05,268.38,0.00,660.97,1117.17,196.96,5132.11,3.85,31.87
236,lobby,35,1,14.33,1232.15,259.49,0.00,540.51,1018.29,163.04,4744.59,3.17,26.57
237,lobby,35,2,14.59,1255.39,239.89,0.00,536.78,1023.12,163.17,4768.53,2.64,26.66
238,lobby,35,3,16.17,1236.29,230.79,0.00,597.52,1018.07,162.09,4784.49,2.56,26.25
239,lobby,36,1,24.95,1255.81,262.87,0.00,842.02,1019.42,179.84,4839.54,3.02,27.32
240,lobby,36,2,14.71,1237.13,294.04,0.00,553.75,989.56,182.17,4767.37,3.50,27.58
241,lobby,36,3,36.84,1236.08,281.87,0.00,759.44,1000.23,179.43,4667.24,3.82,27.20
242,lobby,37,1,30.09,1227.57,244.08,0.00,655.22,1057.81,315.17,5423.91,9.45,33.85
